Year,Month,"-Romer,NotSeasonallyAdjusted_13-componentIndex_Cb28_Index1909100 ",AlternativeIndex(lessWoolReceipts)_Cb29_Index1909100 ,FederalReserveBoard_NotSeasonallyAdjusted_Cb30_Index1997100 ,FederalReserveBoard_SeasonallyAdjusted_Cb31_Index1997100 
1925,12,220.923,,7.875,8.321
1926,1,231.678,,7.909,8.184
1926,2,215.503,,8.183,8.184
1926,3,226.918,,8.354,8.287
1926,4,211.027,,8.32,8.287
1926,5,192.517,,8.32,8.219
1926,6,178.711,,8.32,8.321
1926,7,210.252,,8.183,8.356
1926,8,184.094,,8.594,8.458
1926,9,208.725,,8.902,8.595
1926,10,195.042,,8.902,8.595
1926,11,219.704,,8.594,8.561
1926,12,207.721,,8.046,8.527
1927,1,223.671,,8.183,8.493
1927,2,190.618,,8.594,8.561
1927,3,202.582,,8.765,8.664
1927,4,232.712,,8.594,8.458
1927,5,212.356,,8.628,8.527
1927,6,209.936,,8.56,8.493
1927,7,213.196,,8.183,8.39
1927,8,201.001,,8.457,8.39
1927,9,189.34,,8.56,8.253
1927,10,187.029,,8.423,8.082
1927,11,200.56,,8.046,8.082
1927,12,177.709,,7.635,8.116
1928,1,210.119,,7.978,8.287
1928,2,203.581,,8.354,8.356
1928,3,213.08,,8.56,8.424
1928,4,214.013,,8.56,8.39
1928,5,197.23,,8.628,8.493
1928,6,190.558,,8.628,8.561
1928,7,193.207,,8.491,8.664
1928,8,190.626,,8.936,8.835
1928,9,211.114,,9.279,8.903
1928,10,223.226,,9.45,9.075
1928,11,206.807,,9.142,9.246
1928,12,224.832,,8.628,9.417
1929,1,263.791,,9.142,9.554
1929,2,294.849,,9.518,9.52
1929,3,241.635,,9.655,9.554
1929,4,255.798,,9.929,9.725
1929,5,246.418,,10.169,9.897
1929,6,240.253,,10.066,9.965
1929,7,237.105,,9.861,10.102
1929,8,221.448,,10.032,9.999
1929,9,217.829,,10.237,9.931
1929,10,215.283,,10.066,9.76
1929,11,222.017,,9.142,9.28
1929,12,221.397,,8.217,8.869
1930,1,223.833,,8.457,8.869
1930,2,226.56,,8.765,8.835
1930,3,218.751,,8.697,8.698
1930,4,219.995,,8.799,8.629
1930,5,209.518,,8.765,8.493
1930,6,223.314,,8.423,8.253
1930,7,201.93,,7.772,7.876
1930,8,202.824,,7.738,7.705
1930,9,184.965,,7.875,7.568
1930,10,210.96,,7.601,7.362
1930,11,167.043,,7.053,7.191
1930,12,182.274,,6.574,7.02
1931,1,176.986,,6.608,6.986
1931,2,185.612,,6.985,7.02
1931,3,192.29,,7.156,7.157
1931,4,197.385,,7.327,7.191
1931,5,179.835,,7.259,7.089
1931,6,210.721,,6.985,6.917
1931,7,202.097,,6.711,6.815
1931,8,179.401,,6.574,6.575
1931,9,172.174,,6.54,6.267
1931,10,180.48,,6.231,6.027
1931,11,198.151,,5.923,5.958
1931,12,201.333,,5.581,5.924
1932,1,152.278,,5.547,5.753
1932,2,140.377,,5.649,5.616
1932,3,167.411,,5.512,5.548
1932,4,153.193,,5.273,5.171
1932,5,141.321,,5.102,5
1932,6,159.795,,4.93,4.828
1932,7,145.559,,4.622,4.691
1932,8,147.121,,4.793,4.828
1932,9,141.451,,5.376,5.137
1932,10,153.656,,5.512,5.308
1932,11,135.835,,5.273,5.308
1932,12,136.726,,4.965,5.205
1933,1,129.017,,4.965,5.102
1933,2,113.479,,5.136,5.137
1933,3,115.877,,4.793,4.828
1933,4,109.91,,5.239,5.171
1933,5,128.269,,6.129,6.027
1933,6,151.576,,7.019,6.952
1933,7,221.452,,7.464,7.602
1933,8,210.92,,7.259,7.294
1933,9,207.182,,7.122,6.883
1933,10,190.378,,6.608,6.541
1933,11,170.434,,6.095,6.164
1933,12,162.88,,5.923,6.198
1934,1,184.349,,6.129,6.404
1934,2,164.288,,6.711,6.712
1934,3,170.521,,7.053,7.02
1934,4,187.549,,7.19,7.02
1934,5,197.562,,7.293,7.157
1934,6,202.631,,7.156,7.02
1934,7,187.067,,6.505,6.541
1934,8,140.726,,6.54,6.472
1934,9,150.742,,6.403,6.095
1934,10,134.765,,6.505,6.369
1934,11,159.877,,6.3,6.438
1934,12,100.768,,6.54,6.849
1935,1,164.291,,7.156,7.397
1935,2,201.865,,7.567,7.534
1935,3,184.372,,7.533,7.499
1935,4,171.052,,7.43,7.362
1935,5,146.23,,7.43,7.362
1935,6,170.133,,7.43,7.465
1935,7,198.033,,7.327,7.465
1935,8,172.67,,7.738,7.739
1935,9,173.749,,8.046,7.945
1935,10,171.206,,8.423,8.184
1935,11,145.481,,8.423,8.356
1935,12,180.875,,8.217,8.458
1936,1,164.985,,8.046,8.321
1936,2,173.532,,8.046,8.116
1936,3,162.884,,8.183,8.219
1936,4,197.327,,8.765,8.732
1936,5,178.358,,9.039,8.903
1936,6,194.893,,9.073,9.075
1936,7,198.554,,9.073,9.246
1936,8,194.232,,9.381,9.383
1936,9,213.904,,9.758,9.554
1936,10,193.485,,10.032,9.691
1936,11,202.694,,10.066,9.965
1936,12,227.087,,10.066,10.273
1937,1,215.962,,9.792,10.239
1937,2,232.051,,10.203,10.376
1937,3,207.278,,10.614,10.616
1937,4,216.205,,10.683,10.616
1937,5,223.829,,10.82,10.65
1937,6,232.285,,10.511,10.513
1937,7,200.692,,10.34,10.581
1937,8,220.668,,10.511,10.513
1937,9,234.997,,10.443,10.17
1937,10,221.343,,9.792,9.417
1937,11,215.345,,8.594,8.493
1937,12,231.944,,7.601,7.739
1938,1,177.32,,7.259,7.568
1938,2,171.663,,7.327,7.499
1938,3,161.271,,7.43,7.499
1938,4,140.976,,7.259,7.362
1938,5,138.488,,7.19,7.191
1938,6,139.9,,7.19,7.26
1938,7,130.15,,7.567,7.671
1938,8,149.443,,8.149,8.082
1938,9,157.51,,8.628,8.321
1938,10,164.739,,8.868,8.527
1938,11,167.273,,9.039,8.869
1938,12,167.767,,8.799,8.972
1939,1,172.516,,9.039,8.972
1939,2,156.213,,9.039,9.04
1939,3,182.798,,9.039,9.075
1939,4,158.482,,8.868,9.04
1939,5,184.297,,8.902,9.006
1939,6,172.813,,9.21,9.212
1939,7,179.191,,9.381,9.486
1939,8,179.728,,9.518,9.623
1939,9,192.803,,10.237,10.205
1939,10,215.692,,10.888,10.718
1939,11,207.562,,11.196,10.992
1939,12,281.021,,11.128,10.992
1940,1,275.583,,10.956,10.855
1940,2,200.597,,10.511,10.513
1940,3,232.237,,10.237,10.273
1940,4,262.499,,10.306,10.479
1940,5,221.192,,10.648,10.787
1940,6,252.392,,11.093,11.129
1940,7,282.412,,11.128,11.266
1940,8,285.488,,11.265,11.335
1940,9,320.23,,11.641,11.574
1940,10,304.91,,11.915,11.746
1940,11,309.145,,12.223,12.02
1940,12,372.697,,12.566,12.431
1941,1,,,12.84,12.739
1941,2,,,13.114,13.115
1941,3,,,13.456,13.526
1941,4,,,13.387,13.561
1941,5,,,14.038,14.177
1941,6,,,14.278,14.28
1941,7,,,14.312,14.451
1941,8,,,14.552,14.622
1941,9,,,14.689,14.622
1941,10,,,14.894,14.759
1941,11,,,14.997,14.828
1941,12,,,15.168,15.067
1942,1,,,15.442,15.376
1942,2,,,15.647,15.649
1942,3,,,15.784,15.821
1942,4,,,15.271,15.376
1942,5,,,15.339,15.41
1942,6,,,15.476,15.444
1942,7,,,15.75,15.821
1942,8,,,16.298,16.3
1942,9,,,16.674,16.677
1942,10,,,17.256,17.225
1942,11,,,17.667,17.636
1942,12,,,18.044,18.047
1943,1,,,18.249,18.218
1943,2,,,18.694,18.697
1943,3,,,18.9,18.834
1943,4,,,19.105,19.074
1943,5,,,19.277,19.211
1943,6,,,19.277,19.108
1943,7,,,19.653,19.69
1943,8,,,20.098,20.101
1943,9,,,20.509,20.615
1943,10,,,20.817,20.923
1943,11,,,21.023,21.197
1943,12,,,20.715,20.923
1944,1,,,21.125,21.163
1944,2,,,21.399,21.334
1944,3,,,21.434,21.3
1944,4,,,21.434,21.3
1944,5,,,21.399,21.163
1944,6,,,21.434,21.094
1944,7,,,21.125,21.06
1944,8,,,21.331,21.334
1944,9,,,21.023,21.197
1944,10,,,21.023,21.266
1944,11,,,20.852,21.094
1944,12,,,20.715,21.026
1945,1,,,20.749,20.82
1945,2,,,20.817,20.752
1945,3,,,20.749,20.615
1945,4,,,20.406,20.238
1945,5,,,19.961,19.69
1945,6,,,19.585,19.245
1945,7,,,18.9,18.8
1945,8,,,16.88,16.848
1945,9,,,15.305,15.341
1945,10,,,14.62,14.725
1945,11,,,15.168,15.273
1945,12,,,15.134,15.341
1946,1,,,14.483,14.485
1946,2,,,13.833,13.766
1946,3,,,15.305,15.204
1946,4,,,14.997,14.93
1946,5,,,14.449,14.382
1946,6,,,15.442,15.273
1946,7,,,15.784,15.786
1946,8,,,16.366,16.369
1946,9,,,16.674,16.677
1946,10,,,16.88,16.985
1946,11,,,16.948,17.088
1946,12,,,16.914,17.19
1947,1,,,17.256,17.396
1947,2,,,17.599,17.499
1947,3,,,17.667,17.601
1947,4,,,17.325,17.464
1947,5,,,17.222,17.533
1947,6,,,17.359,17.533
1947,7,,,16.366,17.43
1947,8,,,17.599,17.533
1947,9,,,18.044,17.67
1947,10,,,18.558,17.841
1947,11,,,18.421,18.081
1947,12,,,18.078,18.149
1948,1,,,18.181,18.252
1948,2,,,18.386,18.286
1948,3,,,18.112,18.081
1948,4,,,17.941,18.115
1948,5,,,18.078,18.423
1948,6,,,18.421,18.663
1948,7,,,17.599,18.663
1948,8,,,18.626,18.594
1948,9,,,18.934,18.457
1948,10,,,19.345,18.594
1948,11,,,18.694,18.355
1948,12,,,18.112,18.184
1949,1,,,17.907,18.012
1949,2,,,17.941,17.841
1949,3,,,17.599,17.499
1949,4,,,17.222,17.396
1949,5,,,16.88,17.156
1949,6,,,16.948,17.122
1949,7,,,16.092,17.088
1949,8,,,17.462,17.259
1949,9,,,17.907,17.43
1949,10,,,17.53,16.78
1949,11,,,17.462,17.225
1949,12,,,17.359,17.533
1950,1,,,17.804,17.841
1950,2,,,18.044,17.91
1950,3,,,18.626,18.492
1950,4,,,19.071,19.108
1950,5,,,19.242,19.553
1950,6,,,19.996,20.135
1950,7,,,19.414,20.786
1950,8,,,21.605,21.437
1950,9,,,21.776,21.3
1950,10,,,22.358,21.437
1950,11,,,21.605,21.402
1950,12,,,21.571,21.779
1951,1,,,21.708,21.848
1951,2,,,22.187,21.985
1951,3,,,22.358,22.087
1951,4,,,22.118,22.122
1951,5,,,21.742,22.053
1951,6,,,21.981,21.95
1951,7,,,20.372,21.608
1951,8,,,21.468,21.402
1951,9,,,21.981,21.539
1951,10,,,22.153,21.505
1951,11,,,21.879,21.676
1951,12,,,21.571,21.813
1952,1,,,21.913,22.053
1952,2,,,22.427,22.19
1952,3,,,22.563,22.259
1952,4,,,21.981,22.053
1952,5,,,21.605,21.848
1952,6,,,21.673,21.642
1952,7,,,20.098,21.3
1952,8,,,22.632,22.67
1952,9,,,23.899,23.491
1952,10,,,24.378,23.731
1952,11,,,24.378,24.21
1952,12,,,24.002,24.347
1953,1,,,24.241,24.416
1953,2,,,24.892,24.553
1953,3,,,25.2,24.758
1953,4,,,24.96,24.861
1953,5,,,24.96,24.998
1953,6,,,25.029,24.895
1953,7,,,23.796,25.204
1953,8,,,24.96,25.067
1953,9,,,24.823,24.553
1953,10,,,24.96,24.347
1953,11,,,23.796,23.765
1953,12,,,22.837,23.183
1954,1,,,22.94,23.012
1954,2,,,23.283,23.08
1954,3,,,23.18,22.943
1954,4,,,22.906,22.806
1954,5,,,22.94,22.943
1954,6,,,23.214,23.012
1954,7,,,21.844,23.046
1954,8,,,22.94,23.012
1954,9,,,23.419,23.046
1954,10,,,23.933,23.32
1954,11,,,24.002,23.697
1954,12,,,23.899,24.005
1955,1,,,24.481,24.553
1955,2,,,25.131,24.861
1955,3,,,25.713,25.443
1955,4,,,25.919,25.751
1955,5,,,26.124,26.162
1955,6,,,26.433,26.197
1955,7,,,24.96,26.402
1955,8,,,26.227,26.368
1955,9,,,26.878,26.539
1955,10,,,27.699,26.984
1955,11,,,27.425,27.053
1955,12,,,27.015,27.155
1956,1,,,27.083,27.327
1956,2,,,27.357,27.087
1956,3,,,27.391,27.087
1956,4,,,27.562,27.292
1956,5,,,27.152,27.053
1956,6,,,27.288,26.813
1956,7,,,24.686,25.991
1956,8,,,27.015,27.053
1956,9,,,28.007,27.669
1956,10,,,28.555,27.909
1956,11,,,28.007,27.669
1956,12,,,27.734,28.08
1957,1,,,27.734,27.977
1957,2,,,28.418,28.251
1957,3,,,28.453,28.217
1957,4,,,27.871,27.84
1957,5,,,27.665,27.738
1957,6,,,28.247,27.806
1957,7,,,26.569,27.977
1957,8,,,28.11,27.977
1957,9,,,28.179,27.738
1957,10,,,28.007,27.327
1957,11,,,27.015,26.676
1957,12,,,25.85,26.162
1958,1,,,25.508,25.683
1958,2,,,25.234,25.135
1958,3,,,24.96,24.827
1958,4,,,24.481,24.416
1958,5,,,24.618,24.656
1958,6,,,25.782,25.306
1958,7,,,24.549,25.683
1958,8,,,26.261,26.197
1958,9,,,27.152,26.436
1958,10,,,27.425,26.745
1958,11,,,27.802,27.532
1958,12,,,27.22,27.566
1959,1,,,27.699,27.977
1959,2,,,28.555,28.525
1959,3,,,29.172,28.936
1959,4,,,29.719,29.553
1959,5,,,30.062,29.998
1959,6,,,30.644,30.032
1959,7,,,28.144,29.313
1959,8,,,28.316,28.32
1959,9,,,28.863,28.286
1959,10,,,28.898,28.08
1959,11,,,28.453,28.251
1959,12,,,29.48,29.998
1960,1,,,30.336,30.785
1960,2,,,30.507,30.511
1960,3,,,30.438,30.237
1960,4,,,30.199,29.998
1960,5,,,30.13,29.964
1960,6,,,30.199,29.587
1960,7,,,28.384,29.484
1960,8,,,29.343,29.45
1960,9,,,29.788,29.142
1960,10,,,29.925,29.107
1960,11,,,28.863,28.696
1960,12,,,27.597,28.149
1961,1,,,27.734,28.183
1961,2,,,28.042,28.149
1961,3,,,28.418,28.32
1961,4,,,29.137,28.902
1961,5,,,29.582,29.347
1961,6,,,30.438,29.758
1961,7,,,28.898,30.1
1961,8,,,30.37,30.374
1961,9,,,31.089,30.34
1961,10,,,31.808,30.922
1961,11,,,31.534,31.402
1961,12,,,31.055,31.676
1962,1,,,30.815,31.402
1962,2,,,31.774,31.915
1962,3,,,32.253,32.087
1962,4,,,32.39,32.155
1962,5,,,32.39,32.121
1962,6,,,32.835,32.052
1962,7,,,31.192,32.361
1962,8,,,32.185,32.395
